#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADH1A	GSTA5	9606.ENSP00000209668	9606.ENSP00000360028	0	0	0	0	0.075	0.070	0.650	0.151	0.710
ADH1A	UGT1A7	9606.ENSP00000209668	9606.ENSP00000362525	0	0	0	0	0.060	0	0.650	0.191	0.710
ADH1A	UGT2B15	9606.ENSP00000209668	9606.ENSP00000341045	0	0	0	0	0.135	0	0.650	0.130	0.713
ADH1A	GSTA4	9606.ENSP00000209668	9606.ENSP00000360002	0	0	0	0	0.069	0.070	0.650	0.164	0.713
ADH1A	GSTM2	9606.ENSP00000209668	9606.ENSP00000241337	0	0	0	0	0.072	0.070	0.650	0.167	0.714
ADH1A	UGT1A1	9606.ENSP00000209668	9606.ENSP00000304845	0	0	0	0	0.080	0	0.650	0.191	0.716
ADH1A	UGT1A8	9606.ENSP00000209668	9606.ENSP00000362549	0	0	0	0	0.081	0	0.650	0.192	0.717
ADH1A	ADH6	9606.ENSP00000209668	9606.ENSP00000378359	0	0	0.057	0.966	0.139	0	0.500	0.386	0.717
ADH1A	GSTT2B	9606.ENSP00000209668	9606.ENSP00000290765	0	0	0	0	0	0	0.650	0.230	0.719
ADH1A	MGST3	9606.ENSP00000209668	9606.ENSP00000356864	0	0	0	0	0.056	0	0.650	0.222	0.720
ADH1A	GSTA3	9606.ENSP00000209668	9606.ENSP00000211122	0	0	0	0	0.084	0.070	0.650	0.202	0.730
ADH1A	UGT1A6	9606.ENSP00000209668	9606.ENSP00000303174	0	0	0	0	0.082	0	0.650	0.229	0.731
ADH1A	UGT1A4	9606.ENSP00000209668	9606.ENSP00000362508	0	0	0	0	0.122	0	0.650	0.203	0.733
ADH1A	MGST1	9606.ENSP00000209668	9606.ENSP00000379512	0	0	0	0	0.103	0	0.650	0.227	0.736
ADH1A	GSTA2	9606.ENSP00000209668	9606.ENSP00000420168	0	0	0	0	0.099	0.070	0.650	0.220	0.740
ADH1A	GSTA1	9606.ENSP00000209668	9606.ENSP00000335620	0	0	0	0	0.110	0.070	0.650	0.227	0.746
ADH1A	GSTM1	9606.ENSP00000209668	9606.ENSP00000311469	0	0	0	0	0.072	0.070	0.650	0.270	0.750
ADH1A	ADHFE1	9606.ENSP00000209668	9606.ENSP00000379865	0	0	0	0	0.078	0.460	0.325	0.390	0.767
ADH1A	ALDH3B1	9606.ENSP00000209668	9606.ENSP00000473990	0.048	0	0	0	0.107	0	0.706	0.345	0.815
ADH1A	ALDH1A2	9606.ENSP00000209668	9606.ENSP00000249750	0.048	0.001	0	0	0.119	0	0.706	0.399	0.832
ADH1A	ALDH7A1	9606.ENSP00000209668	9606.ENSP00000387123	0.048	0	0	0	0.120	0	0.714	0.392	0.835
ADH1A	GSTP1	9606.ENSP00000209668	9606.ENSP00000381607	0	0	0	0	0.064	0.096	0.650	0.517	0.837
ADH1A	ALDH3B2	9606.ENSP00000209668	9606.ENSP00000501254	0.048	0	0	0	0.107	0	0.706	0.432	0.839
ADH1A	HPGDS	9606.ENSP00000209668	9606.ENSP00000295256	0	0	0	0	0.133	0.079	0.650	0.510	0.844
ADH1A	ALDH3A1	9606.ENSP00000209668	9606.ENSP00000411821	0.048	0.001	0	0	0.145	0	0.706	0.432	0.846
ADH1A	ALDH1A3	9606.ENSP00000209668	9606.ENSP00000332256	0.048	0.002	0	0	0.114	0	0.706	0.483	0.855
ADH1A	ALDH3A2	9606.ENSP00000209668	9606.ENSP00000345774	0.048	0	0	0	0.119	0	0.706	0.500	0.860
ADH1A	ALDH9A1	9606.ENSP00000209668	9606.ENSP00000346827	0.048	0	0	0	0.122	0	0.706	0.510	0.864
ADH1A	ALDH1B1	9606.ENSP00000209668	9606.ENSP00000366927	0.048	0.001	0	0	0.107	0	0.706	0.539	0.870
ADH1A	ESD	9606.ENSP00000209668	9606.ENSP00000367992	0.099	0.239	0	0	0.609	0.071	0.429	0.285	0.874
ADH1A	PNPLA4	9606.ENSP00000209668	9606.ENSP00000370430	0	0	0	0	0.049	0	0.900	0.043	0.901
ADH1A	CYP27C1	9606.ENSP00000209668	9606.ENSP00000334128	0.042	0	0	0	0.048	0	0.900	0.064	0.903
ADH1A	LRTOMT	9606.ENSP00000209668	9606.ENSP00000305742	0	0	0	0	0	0	0.900	0.105	0.906
ADH1A	AWAT2	9606.ENSP00000209668	9606.ENSP00000421172	0	0	0	0	0.060	0	0.900	0.103	0.908
ADH1A	COMT	9606.ENSP00000209668	9606.ENSP00000354511	0	0	0	0	0	0	0.900	0.174	0.913
ADH1A	RETSAT	9606.ENSP00000209668	9606.ENSP00000295802	0.043	0	0	0	0.089	0	0.900	0.189	0.919
ADH1A	BCO1	9606.ENSP00000209668	9606.ENSP00000258168	0	0	0	0	0.093	0	0.900	0.182	0.919
ADH1A	DGAT1	9606.ENSP00000209668	9606.ENSP00000482264	0	0	0	0	0.067	0	0.900	0.202	0.919
ADH1A	MAOB	9606.ENSP00000209668	9606.ENSP00000367309	0	0	0	0	0.138	0	0.908	0.168	0.928
ADH1A	LRAT	9606.ENSP00000209668	9606.ENSP00000337224	0	0	0	0	0	0	0.900	0.355	0.932
ADH1A	MAOA	9606.ENSP00000209668	9606.ENSP00000340684	0	0	0	0	0.147	0	0.908	0.215	0.933
ADH1A	CYP26A1	9606.ENSP00000209668	9606.ENSP00000224356	0.042	0	0	0	0.067	0	0.900	0.382	0.937
ADH1A	AOX1	9606.ENSP00000209668	9606.ENSP00000363832	0	0	0	0	0.128	0	0.900	0.396	0.942
ADH1A	ALDH1A1	9606.ENSP00000209668	9606.ENSP00000297785	0.048	0.001	0	0	0.127	0	0.706	0.853	0.959
ADH1A	CYP2E1	9606.ENSP00000209668	9606.ENSP00000440689	0.042	0	0	0	0.152	0	0.900	0.607	0.963
ADH1A	AVP	9606.ENSP00000209668	9606.ENSP00000369647	0	0	0	0	0	0	0	0.963	0.963
ADH1A	ALDH2	9606.ENSP00000209668	9606.ENSP00000261733	0.048	0.001	0	0	0.170	0	0.706	0.906	0.975
ADH1A	ADH1C	9606.ENSP00000209668	9606.ENSP00000426083	0	0	0.048	0.985	0.777	0	0.900	0.302	0.983
ADH1A	ADH1B	9606.ENSP00000209668	9606.ENSP00000306606	0	0	0.048	0.985	0.631	0.300	0.900	0.629	0.989
ADH1B	GSTA3	9606.ENSP00000306606	9606.ENSP00000211122	0	0	0	0	0.081	0.070	0.650	0.079	0.687
ADH1B	CYP26A1	9606.ENSP00000306606	9606.ENSP00000224356	0.042	0	0	0	0.067	0	0.900	0.221	0.921
ADH1B	GSTM2	9606.ENSP00000306606	9606.ENSP00000241337	0	0	0	0	0.074	0.070	0.650	0.100	0.692
ADH1B	ALDH1A2	9606.ENSP00000306606	9606.ENSP00000249750	0.048	0.001	0	0	0.131	0	0.706	0.319	0.813
ADH1B	BCO1	9606.ENSP00000306606	9606.ENSP00000258168	0	0	0	0	0.087	0	0.900	0.150	0.915
ADH1B	ALDH2	9606.ENSP00000306606	9606.ENSP00000261733	0.048	0.001	0	0	0.147	0	0.706	0.984	0.995
ADH1B	GSTT2B	9606.ENSP00000306606	9606.ENSP00000290765	0	0	0	0	0	0	0.650	0.280	0.737
ADH1B	HPGDS	9606.ENSP00000306606	9606.ENSP00000295256	0	0	0	0	0.097	0.079	0.650	0.189	0.732
ADH1B	RETSAT	9606.ENSP00000306606	9606.ENSP00000295802	0.043	0	0	0	0.083	0	0.900	0.099	0.910
ADH1B	ALDH1A1	9606.ENSP00000306606	9606.ENSP00000297785	0.048	0.002	0	0	0.145	0	0.706	0.814	0.949
ADH1B	UGT1A6	9606.ENSP00000306606	9606.ENSP00000303174	0	0	0	0	0.063	0	0.650	0.205	0.717
ADH1B	UGT1A1	9606.ENSP00000306606	9606.ENSP00000304845	0	0	0	0	0.065	0	0.650	0.195	0.713
ADH1B	LRTOMT	9606.ENSP00000306606	9606.ENSP00000305742	0	0	0	0	0	0	0.900	0.206	0.917
ADH1B	GSTA5	9606.ENSP00000306606	9606.ENSP00000360028	0	0	0	0	0.067	0.070	0.650	0.059	0.675
ADH1B	MGST3	9606.ENSP00000306606	9606.ENSP00000356864	0	0	0	0	0	0	0.650	0.115	0.677
ADH1B	MGST1	9606.ENSP00000306606	9606.ENSP00000379512	0	0	0	0	0.111	0	0.650	0.116	0.701
ADH1B	UGT1A8	9606.ENSP00000306606	9606.ENSP00000362549	0	0	0	0	0.062	0	0.650	0.172	0.704
ADH1B	UGT1A4	9606.ENSP00000306606	9606.ENSP00000362508	0	0	0	0	0.060	0	0.650	0.182	0.707
ADH1B	ADH6	9606.ENSP00000306606	9606.ENSP00000378359	0	0	0.057	0.966	0.067	0	0.500	0.418	0.709
ADH1B	GSTA2	9606.ENSP00000306606	9606.ENSP00000420168	0	0	0	0	0.072	0.070	0.650	0.166	0.714
ADH1B	UGT1A7	9606.ENSP00000306606	9606.ENSP00000362525	0	0	0	0	0.060	0	0.650	0.204	0.715
ADH1B	UGT2B15	9606.ENSP00000306606	9606.ENSP00000341045	0	0	0	0	0.084	0	0.650	0.188	0.717
ADH1B	GSTA4	9606.ENSP00000306606	9606.ENSP00000360002	0	0	0	0	0.067	0.070	0.650	0.187	0.720
ADH1B	ADHFE1	9606.ENSP00000306606	9606.ENSP00000379865	0	0	0	0	0.065	0.460	0.325	0.288	0.725
ADH1B	GSTA1	9606.ENSP00000306606	9606.ENSP00000335620	0	0	0	0	0.081	0.070	0.650	0.225	0.737
ADH1B	GSTP1	9606.ENSP00000306606	9606.ENSP00000381607	0	0	0	0	0.064	0.096	0.650	0.309	0.767
ADH1B	GSTM1	9606.ENSP00000306606	9606.ENSP00000311469	0	0	0	0	0.068	0.070	0.650	0.368	0.782
ADH1B	ALDH3B1	9606.ENSP00000306606	9606.ENSP00000473990	0.048	0	0	0	0.107	0	0.706	0.360	0.819
ADH1B	ALDH1A3	9606.ENSP00000306606	9606.ENSP00000332256	0.048	0.002	0	0	0.120	0	0.706	0.368	0.824
ADH1B	ALDH7A1	9606.ENSP00000306606	9606.ENSP00000387123	0.048	0	0	0	0.120	0	0.714	0.371	0.830
ADH1B	ALDH3B2	9606.ENSP00000306606	9606.ENSP00000501254	0.048	0	0	0	0.107	0	0.706	0.419	0.836
