#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACSS2	ADH1A	9606.ENSP00000253382	9606.ENSP00000209668	0	0	0	0	0.087	0	0.110	0.370	0.443
ACSS2	CYP26A1	9606.ENSP00000253382	9606.ENSP00000224356	0	0	0	0	0.067	0	0.170	0.106	0.247
ACSS2	TPI1	9606.ENSP00000253382	9606.ENSP00000229270	0	0	0	0	0.048	0	0	0.413	0.417
ACSS2	RDH10	9606.ENSP00000253382	9606.ENSP00000240285	0.042	0	0	0	0.049	0	0.160	0.105	0.224
ACSS2	ALDH1A2	9606.ENSP00000253382	9606.ENSP00000249750	0.041	0	0	0	0.207	0.060	0.185	0.141	0.408
ACSS2	CYP27C1	9606.ENSP00000253382	9606.ENSP00000334128	0	0	0	0	0	0	0.170	0.066	0.191
ACSS2	DERA	9606.ENSP00000253382	9606.ENSP00000416583	0	0	0	0	0.080	0	0	0.179	0.213
ACSS2	RETSAT	9606.ENSP00000253382	9606.ENSP00000295802	0.057	0	0	0	0.180	0	0	0.089	0.234
ACSS2	AVP	9606.ENSP00000253382	9606.ENSP00000369647	0	0	0	0	0	0	0	0.305	0.305
ACSS2	CYP2E1	9606.ENSP00000253382	9606.ENSP00000440689	0	0.005	0	0	0.057	0	0.170	0.188	0.309
ACSS2	ADH6	9606.ENSP00000253382	9606.ENSP00000378359	0	0	0	0	0.087	0	0.110	0.242	0.330
ACSS2	ADH1C	9606.ENSP00000253382	9606.ENSP00000426083	0	0	0	0	0.087	0	0.110	0.273	0.357
ACSS2	ADH7	9606.ENSP00000253382	9606.ENSP00000420269	0	0	0	0	0.087	0	0.110	0.279	0.363
ACSS2	LDHC	9606.ENSP00000253382	9606.ENSP00000437783	0	0	0	0	0.108	0.091	0.115	0.229	0.373
ACSS2	LDHAL6A	9606.ENSP00000253382	9606.ENSP00000280706	0	0	0	0	0.108	0.091	0.115	0.245	0.385
ACSS2	PGK1	9606.ENSP00000253382	9606.ENSP00000362413	0	0	0	0	0.049	0	0	0.381	0.386
ACSS2	LDHAL6B	9606.ENSP00000253382	9606.ENSP00000302393	0	0	0	0	0.108	0.091	0.115	0.260	0.397
ACSS2	ENSP00000428055	9606.ENSP00000253382	9606.ENSP00000428055	0	0	0	0	0.086	0	0.283	0.163	0.403
ACSS2	ALDH8A1	9606.ENSP00000253382	9606.ENSP00000265605	0.041	0	0	0	0.207	0.060	0.185	0.141	0.408
ACSS2	ALDH1L1	9606.ENSP00000253382	9606.ENSP00000273450	0.041	0	0	0	0.217	0.051	0.185	0.159	0.423
ACSS2	ADH1B	9606.ENSP00000253382	9606.ENSP00000306606	0	0	0	0	0.087	0	0.110	0.347	0.423
ACSS2	ADH4	9606.ENSP00000253382	9606.ENSP00000424630	0	0	0	0	0.087	0	0.110	0.351	0.426
ACSS2	ALDH1A1	9606.ENSP00000253382	9606.ENSP00000297785	0.041	0	0	0	0.207	0.060	0.185	0.203	0.451
ACSS2	ADHFE1	9606.ENSP00000253382	9606.ENSP00000379865	0	0	0	0	0.092	0	0.283	0.227	0.453
